date,fam,magnitude
2021-03-01T06:59:21.325000Z,11,2.011533916362331
2021-03-12T16:18:31.675000Z,16,2.304455483782627
2021-03-13T21:13:31.425000Z,08,3.420775509716679
2021-03-17T06:18:36.000000Z,02,1.874375352967962
2021-03-24T22:04:21.840000Z,11,1.986903542655392
2021-04-21T16:01:48.440000Z,08,1.6314975171159944
2021-05-17T18:24:53.500000Z,02,1.8834108101375395
2021-07-22T07:48:14.840000Z,09,1.710406135795502
2021-07-27T23:57:40.800000Z,15,2.1833271076537035
2021-09-26T07:24:54.160000Z,02,1.869231727030736
2021-10-03T03:51:11.720000Z,02,1.8652360861556028
2021-10-15T20:16:50.160000Z,06,2.9977913622380603
2021-10-15T20:16:50.240000Z,07,2.313236460310982
2021-11-08T09:27:08.160000Z,17,2.1283498318814127
2021-11-08T14:36:54.900000Z,02,1.8701168984331704
2021-11-25T07:45:10.200000Z,01,2.025771706543116
2021-11-26T21:21:46.540000Z,01,2.0269088052345774
2021-11-26T21:21:46.580000Z,11,1.9781569648395647
2021-11-27T02:15:08.340000Z,02,1.868677694266819
2021-11-28T08:21:09.820000Z,03,1.624123371797193
2021-12-16T16:27:20.120000Z,02,1.8666065797046056
2022-01-07T14:24:54.000000Z,01,2.0274590733019595
2022-01-12T21:55:37.840000Z,02,1.8830454024119487
2022-01-12T21:55:54.440000Z,02,1.882950624450398
2022-01-21T11:57:17.400000Z,08,1.750921704983861
2022-03-20T10:16:43.220000Z,05,2.4420589473696883
2022-04-09T17:37:05.180000Z,08,1.6446767370672497
2022-04-10T22:10:03.820000Z,02,1.9675239544084997
2022-04-10T22:54:01.820000Z,02,1.869240628946236
2022-04-13T10:15:33.940000Z,01,2.063437056015271
2022-05-17T11:33:03.860000Z,11,2.114796626864587
2022-05-17T12:11:48.100000Z,11,2.035829360272169
2022-06-27T15:22:03.920000Z,01,2.0374800203832275
2022-08-04T11:18:20.940000Z,06,2.7909016400433986
2022-08-04T11:18:21.020000Z,07,2.156600872553122
2022-08-04T20:04:44.640000Z,06,2.289030897752247
2022-08-26T15:05:19.280000Z,12,1.807510354049067
2022-09-10T04:46:21.280000Z,09,2.294180223203412
2022-12-20T15:12:43.000000Z,04,2.7648540914073925
2022-12-26T04:55:38.300000Z,09,1.782024286713255
2022-12-28T13:39:27.980000Z,01,2.0375248402258053
2023-01-22T21:29:29.880000Z,08,1.6291909739738333
2023-02-11T10:32:02.260000Z,08,2.355505808220355
2023-02-16T16:15:06.780000Z,03,1.6279518841114162
2023-03-04T04:52:11.700000Z,16,2.2513077231650795
2023-04-22T14:05:56.000000Z,17,2.0350852044152643
2023-07-11T04:12:24.600000Z,02,1.8662173554677064
2023-08-02T23:40:05.520000Z,11,2.0082967341539284
2023-08-05T18:53:19.100000Z,11,2.123294787596579
2023-09-09T07:39:17.120000Z,01,2.0320901239530884
2023-09-09T07:39:17.160000Z,11,1.9832511373996464
2023-10-02T00:43:58.240000Z,03,1.7047222285658892
2023-10-16T13:39:07.760000Z,05,2.381239629082514
2023-11-12T20:06:00.600000Z,09,1.9214961711956955
2023-12-03T23:53:50.520000Z,01,2.024482188472454
2023-12-28T02:57:19.620000Z,06,3.3845211312423213
2024-02-27T23:54:43.180000Z,02,1.8645119166343156
2024-04-13T01:57:33.080000Z,09,1.7662756551794343
2024-04-18T03:00:45.740000Z,02,1.8840977439178208
2024-04-21T06:38:57.860000Z,02,1.9267352975719767
2024-04-23T02:29:46.480000Z,02,1.8734285966850688
2024-05-21T06:20:32.960000Z,02,1.873679961929697
2024-06-08T11:28:21.060000Z,11,1.984136156588504
2024-06-19T17:53:53.740000Z,04,2.691000915584177
2024-07-05T10:30:37.900000Z,02,2.0130873755478524
2024-08-16T09:58:34.480000Z,11,2.002086958115357
2024-08-25T14:26:50.540000Z,12,1.791006162071997
2024-09-28T23:53:17.860000Z,05,2.455423290932792
2024-10-12T17:21:46.580000Z,01,2.0693098576577134
2024-10-20T13:09:15.080000Z,08,1.6255219017465252
2025-01-01T05:50:39.160000Z,07,2.1131267142509906
2025-01-21T16:09:23.260000Z,11,2.0898097260991886
2025-03-05T09:12:48.800000Z,08,1.6189530799840313
